Platform,Mode,Total Requests,Successful Requests,Success Rate (%),Avg TPS,P95 TPS,Aggregate TPS,Avg Latency (ms),P95 Latency (ms),Avg TTFT (ms),P95 TTFT (ms),Requests/sec,Total Duration (sec),Total Tokens
local,streaming,192,192,100.0,10.172896439158343,10.410078706933557,40.54291321121872,6273.526308624393,6785.139510582667,410.4127990943501,468.3296876435634,0.6375298391936113,301.1623742080119,12210
local,non_streaming,196,196,100.0,10.389843099619265,10.406876149702013,41.54717408058958,6160.041902826063,6166.823708015727,,,0.6491745950092122,301.92185816701385,12544
aws,streaming,4526,4526,100.0,29.01043485897082,35.3084579684414,899.9373643899658,2128.8741509523106,2851.0613439866574,2123.0018588960547,2840.9290524941753,15.005310509418058,301.6265472919913,271445
aws,non_streaming,4462,4462,100.0,30.961206550540243,38.53196641672865,949.9833681551252,2150.7603329349718,2974.3374143014066,,,14.84349012742383,300.6031574579829,285568
azure,streaming,3851,3851,100.0,25.386459089621837,30.371826200507975,804.7068007839418,2499.8937462833505,2724.2604795028456,668.1834762769263,886.7022704944247,12.777653167766722,301.38554783398286,242527
azure,non_streaming,3874,3874,100.0,25.939190734730946,31.354183186577707,822.3882084531572,2488.206133833915,2685.225064691622,,,12.84981575708058,301.48292187499464,247936
gcp,streaming,2508,2508,100.0,16.27075124967136,17.160206250334245,518.4979751761347,3873.9492563970657,4097.240133360901,1278.628807578034,1431.585577390797,8.238730109426351,304.41584645799594,157839
gcp,non_streaming,2507,2507,100.0,16.63944070603689,18.195168205488326,530.6546762574362,3856.831121362884,4097.84660008736,,,8.291479316522441,302.35859058398637,160448
